Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
270960,NCR,116759,Wage/Salaries,2,37922,26788,23446,7754,1995,6006,10870,864,9050,7865,46860,27000,1467,57516,780,0,16122,2800,0,0,Male,46,Married,No Grade Completed,With Job/Business,"Messengers, package and luggage porters and deliverers",Worked for private establishment,Extended Family,8,3,0,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,45,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,2,0,0,0,0
795900,NCR,130919,Wage/Salaries,2,23022,16385,28965,5726,3315,4825,49800,962,2715,19164,118230,78000,20400,54966,24402,0,62556,5500,0,0,Male,59,Married,Second Year College,With Job/Business,"Car, taxi and van drivers",Worked for government/government corporation,Single Family,4,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,16,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,1,4,1,0,0,0
376640,NCR,148811,Wage/Salaries,2,36712,30951,21811,10212,2215,6922,53010,1710,14480,7955,64710,42000,0,14040,3120,750,18894,2700,0,0,Male,54,Married,Elementary Graduate,With Job/Business,Heavy truck and lorry drivers,Worked for private establishment,Extended Family,10,0,4,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,35,0,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
328860,NCR,122231,Wage/Salaries,2,33883,26064,21669,7806,2290,5151,37890,402,8598,14484,102300,51000,1320,18522,6240,1520,23748,4500,0,0,Male,49,Married,Transport Services Programs,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,7,1,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,32,23,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,1,1,0,0,0,6,1,0,0,0
193740,NCR,99683,Wage/Salaries,2,36690,28147,15224,5180,1590,3661,28140,216,0,5680,50478,39000,794,14952,2082,4380,12702,2500,0,0,Male,44,Married,High School Graduate,With Job/Business,"Fiber preparing, spinning and winding machine operators",Worked for private establishment,Single Family,6,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,28,35,0,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,2,0,0,0,0
267000,NCR,107986,Wage/Salaries,2,28850,22082,17270,6443,1925,4902,36510,0,2715,5920,86580,66000,1440,7542,3510,25870,15750,2500,0,45000,Male,48,Married,High School Graduate,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,6,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,45,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
173600,NCR,63840,Wage/Salaries,2,17287,11818,13929,4932,1650,3991,14830,210,1810,4680,36750,27000,6000,20232,2598,430,10440,2500,0,0,Male,49,Married,Second Year High School,With Job/Business,Building and related electricians,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,35,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
205393,NCR,93114,Wage/Salaries,2,25995,19277,15054,5543,2540,4102,28065,465,3349,4940,27462,0,622,11982,2604,2070,15366,2800,0,0,Male,56,Married,Second Year High School,With Job/Business,Masons and related concrete finishers,Worked for private establishment,Single Family,5,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,17,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,2,0,0,0,0
326530,NCR,76606,Wage/Salaries,2,15033,11428,18230,5868,2250,2696,10500,0,0,11250,49038,36000,1160,24504,10140,8515,20490,1000,0,77864,Male,52,Married,High School Graduate,With Job/Business,Machine tool operators,Worked for private establishment,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,1,0,1,1,0,0,0,3,0,1,0,0
557360,NCR,154509,Wage/Salaries,2,38729,33666,18108,10201,12590,5853,47520,0,0,19660,104610,0,8676,36318,31062,51800,40242,4000,0,0,Male,40,Married,Engineering and Engineering Trades Programs,With Job/Business,Draftsmen,Worked for private establishment,Single Family,6,0,2,1,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,28,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,1,0,1,5,2,1,0,0
111097,NCR,14521,Other sources of Income,2,4000,0,0,102,1960,240,450,0,0,2950,64800,60000,31800,624,0,0,5922,0,0,0,Female,69,Widowed,High School Graduate,No Job/Business,,,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,55,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0
459500,NCR,119045,Enterpreneurial Activities,2,21181,17557,32093,9484,10691,6112,18480,3248,14480,9950,115200,0,0,8550,5292,23000,15732,0,0,214500,Male,47,Married,Grade 5,With Job/Business,General managers/managing proprietors in manufacturing,Self-employed wihout any employee,Extended Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,35,3,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,6,1,1,0,1
172505,NCR,53087,Wage/Salaries,2,11858,9788,7544,3979,1070,4303,13900,0,2715,2799,99852,48000,16,390,5058,0,5940,1000,0,0,Female,41,Single,Elementary Graduate,With Job/Business,Building caretakers,Worked for private household,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,180,35,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,1,0,0,2,0,0,0,0
425000,NCR,144432,Wage/Salaries,2,35431,20404,11598,11610,2850,3708,61600,0,2715,7314,112980,81000,0,43014,26394,36760,20868,5000,0,28000,Male,42,Married,Second Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,5,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,185,29,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,1,1,1,5,4,1,0,0
346150,NCR,100594,Other sources of Income,2,21113,15566,20616,10064,4805,5365,19600,0,0,18582,87960,60000,7546,19560,17100,55800,51954,0,0,0,Female,54,Married,Health Programs,No Job/Business,,,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,20,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,1,0,0,3,1,1,0,0
1060955,NCR,237491,Wage/Salaries,2,48072,32910,24159,19522,6360,6490,105300,432,2080,25889,142740,90000,41000,152100,42600,41000,58518,16000,0,0,Male,60,Married,Humanities Programs,No Job/Business,,,Extended Family,6,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,40,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",2,1,0,1,1,1,1,1,4,0,0,0,1
185180,NCR,53718,Enterpreneurial Activities,2,17853,14710,15870,5519,1335,2735,1720,0,0,2550,92580,60000,5592,0,1464,0,9690,0,0,110920,Male,54,Married,Engineering and Engineering trades Programs,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,4,1,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,1,0,0,2,0,0,0,0
52164,NCR,33648,Other sources of Income,2,5009,3263,3657,13415,1470,1873,650,0,0,580,23700,18000,1794,678,0,0,2838,0,0,0,Female,87,Widowed,Elementary Graduate,No Job/Business,,,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,40,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
248508,NCR,75396,Wage/Salaries,2,9611,7124,2715,3001,570,772,49400,1380,3900,0,27480,6000,0,96,1800,0,5364,1000,0,0,Male,56,Single,High School Graduate,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Two or More Nonrelated Persons/Members,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,50,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,3,0,0,0,0
402008,NCR,87578,Wage/Salaries,2,13064,6369,4890,2628,2990,2362,46745,0,0,10190,126600,0,240,39960,10116,0,27750,0,0,0,Male,35,Married,Business and Administration Programs,With Job/Business,Receptionists and information clerks,Worked for private establishment,Extended Family,2,0,0,2,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,45,10,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,1,1,0,0,0,0,2,1,0,0,0
766311,NCR,183738,Wage/Salaries,2,31507,17100,17662,17350,4180,8528,76830,11492,18100,10750,293514,0,6310,22518,24996,0,40668,10000,0,0,Male,58,Single,Engineering and Engineering Trades Programs,No Job/Business,,,Single Family,6,0,1,3,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,15,3,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,1,0,5,1,0,0,0
423500,NCR,170452,Wage/Salaries,2,38265,26262,22690,10451,3310,5320,64610,540,0,4350,119700,30000,1193,12876,9720,860,31218,8000,0,0,Female,46,Married,Teacher Training and Education Sciences Programs,With Job/Business,General elementary education teaching professionals,Worked for government/government corporation,Extended Family,9,2,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,20,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,5,1,0,0,0
158766,NCR,97179,Wage/Salaries,2,45176,36924,7440,4533,1420,1605,25225,2940,0,0,34902,15000,1422,192,420,0,3702,2000,0,0,Male,45,Married,Grade 6,With Job/Business,Ship and aircraft controllers and technicians,Worked for private establishment,Single Family,7,0,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,15,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
129225,NCR,60162,Wage/Salaries,2,12233,9568,1615,1983,1190,1379,26540,0,3801,550,44400,36000,228,390,690,0,1932,400,0,0,Male,26,Married,Second Year High School,With Job/Business,Painters and related workers,Worked for private establishment,Single Family,3,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,15,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
386304,NCR,155520,Wage/Salaries,2,45458,29865,6265,6947,1020,1789,70190,887,1810,1940,41502,15000,5909,192,38220,0,8070,12000,0,804,Male,51,Married,Grade 4,With Job/Business,Painters and related workers,Worked for private establishment,Extended Family,7,1,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,1,0,0,1,0,0,0,1,0,0,0,0
174974,NCR,87367,Wage/Salaries,2,30122,24978,9350,1152,964,1730,25040,0,2172,1945,43170,21000,2479,11820,2460,430,5424,1200,0,0,Male,43,Married,High School Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,7,1,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,41,20,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,1,0,0,0,2,0,0,0,0
113287,NCR,50227,Enterpreneurial Activities,2,21062,14842,2920,1595,420,1385,10640,0,0,250,34140,21000,75,7020,1170,240,4146,2000,0,52769,Female,47,Widowed,Third Year High School,With Job/Business,Sweepers and related laborers,Worked for government/government corporation,Single Family,4,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,41,15,4,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
220259,NCR,68296,Wage/Salaries,2,16161,4242,6660,5020,975,1311,24630,0,0,2499,32760,9000,231,12240,2460,0,10986,0,0,0,Male,33,Married,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,15,4,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
506420,NCR,125520,Wage/Salaries,2,25354,17472,18980,5663,1140,1750,56720,3874,9050,1890,72960,54000,340,7152,6630,295,18504,36500,0,1560,Male,52,Widowed,High School Graduate,With Job/Business,Painters and related workers,Worked for private establishment,Extended Family,8,1,1,3,Single house,Mixed but predominantly strong materials,Quite Strong,60,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
183900,NCR,80180,Wage/Salaries,2,34345,30951,3180,4845,2015,1053,21410,2990,0,0,34002,6000,0,6480,300,0,2340,5000,0,0,Male,53,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,5,0,3,1,Single house,Mixed but predominantly strong materials,Quite Strong,45,25,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
119760,NCR,27825,Other sources of Income,2,7667,5850,2298,2469,188,983,9050,0,2715,0,71712,66000,0,390,0,0,1332,0,0,3120,Female,51,Divorced/Separated,Elementary Graduate,With Job/Business,Workers reporting occupations unidentifiable or inadequately defined,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,Mixed but predominantly strong materials,Quite Strong,60,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0
118520,NCR,57103,Wage/Salaries,2,22501,10036,7942,5580,690,2200,7800,288,5430,220,35460,21000,5109,5814,1380,0,4056,2000,0,0,Male,51,Married,Third Year High School,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,4,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,10,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
138920,NCR,51126,Wage/Salaries,2,14675,10400,10080,3970,750,2075,3620,882,2080,2230,29880,21000,480,15234,1680,1360,2478,0,0,0,Male,27,Married,Third Year High School,With Job/Business,Painters and related workers,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,10,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
162060,NCR,66607,Wage/Salaries,2,23107,14306,5940,5892,2000,3096,11950,0,0,1100,73050,30000,270,11040,1800,1700,4908,0,0,27300,Male,37,Married,High School Graduate,With Job/Business,Electrical mechanics and fitters,Worked for private establishment,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,47,40,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
811246,NCR,175666,Other sources of Income,2,29505,16560,22529,11265,15352,6460,66730,246,0,5491,163920,120000,6075,26148,26682,46000,21816,9500,0,0,Male,60,Married,Engineering and Engineering Trades Programs,With Job/Business,"College, university and higher education teaching professionals",Worked for private establishment,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,1,1,3,2,0,0,0
366540,NCR,65074,Other sources of Income,2,21462,10450,12280,5628,1860,3586,8380,0,7240,2000,147630,102000,4866,19398,8730,0,9864,0,0,0,Male,70,Single,High School Graduate,No Job/Business,,,Extended Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,1,3,2,0,0,0
1426100,NCR,215064,Wage/Salaries,2,29827,20400,19035,13294,3838,7440,114150,10480,2080,37569,259740,210000,39935,136416,50328,0,58122,27000,0,0,Female,57,Widowed,Post Baccalaureate,With Job/Business,School principals,Worked for government/government corporation,Single Family,3,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,30,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,2,1,1,3,3,0,0,0
164192,NCR,66465,Other sources of Income,2,18126,9520,5264,5219,2050,3275,13390,0,240,7060,74478,60000,2036,4014,1146,450,4752,0,0,0,Female,61,Widowed,First Year College,No Job/Business,,,Extended Family,2,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
643814,NCR,147796,Wage/Salaries,2,32397,20944,21937,17255,5154,7821,22900,3030,312,5360,87636,48000,29572,52650,9870,29000,41592,5500,0,0,Male,58,Married,First Year College,With Job/Business,Heavy truck and lorry drivers,Worked for private establishment,Extended Family,7,0,1,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,45,20,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,1,6,2,1,0,1
293200,NCR,95423,Other sources of Income,2,16558,8112,17524,2014,2258,3770,36255,0,0,3700,35040,0,0,14442,8340,11000,17658,0,0,0,Female,32,Married,Business and Administration Programs,No Job/Business,,,Extended Family,3,0,0,3,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,15,1,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,0,2,0,0,0,0
244643,NCR,87179,Wage/Salaries,2,32071,24880,11450,10090,5230,3259,1820,0,1448,1630,45540,24000,1110,39798,1560,8500,14364,0,0,0,Male,45,Married,High School Graduate,With Job/Business,Chemical products machine operators n. e. c.,Worked for private establishment,Single Family,5,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,22,45,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,3,0,0,0,0
447216,NCR,135951,Other sources of Income,2,22004,2250,28194,9833,4508,7324,25140,480,2172,13600,236940,102000,5126,33048,9318,1060,10254,13300,0,174400,Male,32,Married,Health Programs,With Job/Business,General managers/managing proprietors n. e. c.,Employer in own family-operated farm or business,Extended Family,6,1,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,1,1,0,5,0,1,0,1
628000,NCR,118539,Wage/Salaries,2,26406,18300,12210,6108,8015,7506,36770,0,0,2298,140640,120000,4136,48618,21600,0,24798,3000,0,0,Female,54,Married,Health Programs,With Job/Business,Medical technologists,Worked for private establishment,Extended Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,105,15,5,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,2,0,1,2,2,0,0,0
1234000,NCR,220618,Wage/Salaries,2,20854,11250,19606,9332,6106,8433,128400,240,0,10600,158700,108000,73188,117144,38280,0,56718,98500,0,0,Male,57,Widowed,Business and Administration Programs,With Job/Business,Supply and distribution managers,Worked for private establishment,Single Family,3,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,136,12,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,1,1,3,4,0,0,0
264407,NCR,97799,Enterpreneurial Activities,2,48195,18330,8900,7394,4160,3960,3000,2340,1448,730,94440,72000,2168,8952,1428,0,9390,1200,0,95677,Male,47,Married,High School Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,4,1,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,2,0,0,0,1
994622,NCR,144291,Wage/Salaries,2,26138,17290,27978,14713,8435,9263,40410,975,1560,14000,123780,78000,55000,79764,67932,0,45426,5000,0,0,Male,60,Married,Third Year College,No Job/Business,,,Single Family,5,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,3,1,1,4,1,0,0,0
1559930,NCR,273116,Wage/Salaries,2,45008,25000,33480,23284,22542,11737,72200,0,0,27346,312120,270000,6690,104250,44376,91000,125364,10730,0,289750,Female,32,Divorced/Separated,Health Programs,With Job/Business,Medical doctors,Worked for government/government corporation,Extended Family,5,1,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,240,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,1,0,5,1,0,0,0
502000,NCR,163972,Wage/Salaries,2,29052,20439,20088,9420,5183,6175,71150,0,0,8620,155730,102000,5504,47244,31194,32200,35028,3000,0,0,Male,49,Married,Law Programs,With Job/Business,Lawyers,Worked for private establishment,Single Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,35,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,0,4,1,1,0,0
404100,NCR,107401,Wage/Salaries,2,18259,9040,14906,5883,4056,4337,33320,705,0,14430,139050,0,10289,57918,9378,800,24174,0,0,0,Male,61,Married,Business and Administration Programs,With Job/Business,Masons and related concrete finishers,Worked for private establishment,Single Family,4,0,2,1,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,180,15,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,1,1,1,0,0,0,2,2,0,0,0
1165380,NCR,158236,Enterpreneurial Activities,2,28322,20400,12368,9177,4485,6147,77480,1500,1810,10370,230640,72000,20610,24876,40200,0,35406,10500,0,664800,Male,65,Married,High School Graduate,No Job/Business,,,Single Family,6,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,140,25,4,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,2,2,1,1,6,2,1,0,0
415778,NCR,41719,Other sources of Income,2,7152,2688,690,368,2035,156,24720,0,0,5340,119916,108000,25248,19200,8892,0,7302,350,0,193770,Male,68,Single,Second Year College,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,0,1,1,0,0,0
